seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr5	1345939	1345947	9	*	X03368	81037	1318000	1345002	27003	-	936	upstream	936	CLPTM1L
chr5	2753635	2753655	21	*	X03373	153572	2746279	2751769	5491	-	1865	upstream	1865	IRX2
chr5	3595773	3595781	9	*	X03380	79192	3596168	3601517	5350	+	386	upstream	386	IRX1
chr5	5139451	5139461	11	*	X03382	170690	5140443	5320412	179970	+	981	upstream	981	ADAMTS16
chr5	5140591	5140599	9	*	X03383	170690	5140443	5320412	179970	+	0	inside	147	ADAMTS16
chr5	5422997	5423005	9	*	X03386	23379	5422786	5490347	67562	+	0	inside	210	ICE1
chr5	6633106	6633114	9	*	X03389	6715	6633500	6669675	36176	+	385	upstream	385	SRD5A1
chr5	6633411	6633421	11	*	X03390	54888	6599352	6633473	34122	-	0	inside	51	NSUN2
chr5	6633411	6633421	11	*	X03390	6715	6633500	6669675	36176	+	78	upstream	78	SRD5A1
chr5	6713132	6713142	11	*	X03391	11044	6714718	6757161	42444	+	1575	upstream	1575	TENT4A
chr5	6713431	6713442	12	*	X03392	11044	6714718	6757161	42444	+	1275	upstream	1275	TENT4A
chr5	7868885	7868896	12	*	X03393	4552	7869217	7901235	32019	+	320	upstream	320	MTRR
chr5	7868885	7868896	12	*	X03393	79072	7859272	7869150	9879	-	0	inside	253	FASTKD3
chr5	8457696	8457705	10	*	X03394	100505738	8457800	8463209	5410	+	94	upstream	94	MIR4458HG
chr5	8457696	8457705	10	*	X03394	729506	8333596	8457677	124082	-	18	upstream	18	LINC02226
chr5	8457818	8457827	10	*	X03395	100505738	8457800	8463209	5410	+	0	inside	17	MIR4458HG
chr5	8457818	8457827	10	*	X03395	729506	8333596	8457677	124082	-	140	upstream	140	LINC02226
chr5	8457976	8457984	9	*	X03396	100505738	8457800	8463209	5410	+	0	inside	175	MIR4458HG
chr5	8457976	8457984	9	*	X03396	729506	8333596	8457677	124082	-	298	upstream	298	LINC02226
chr5	8458368	8458376	9	*	X03397	729506	8333596	8457677	124082	-	690	upstream	690	LINC02226
chr5	9545361	9545369	9	*	X03398	100505806	9546312	9550409	4098	+	942	upstream	942	SNHG18
chr5	10250351	10250361	11	*	X03399	134145	10225620	10250021	24402	-	329	upstream	329	ATPSCKMT
chr5	10250351	10250361	11	*	X03399	22948	10250282	10266501	16220	+	0	inside	68	CCT5
chr5	10441954	10441968	15	*	X03402	100505845	10440847	10441963	1117	-	0	overlapStart	0	ROPN1L-AS1
chr5	10441954	10441968	15	*	X03402	83853	10441974	10465138	23165	+	5	upstream	5	ROPN1L
chr5	10761293	10761304	12	*	X03403	1611	10679342	10761387	82046	-	0	inside	82	DAP
chr5	10761459	10761460	2	*	X03404	1611	10679342	10761387	82046	-	71	upstream	71	DAP
chr5	14664704	14664713	10	*	X03410	90268	14664783	14699842	35060	+	69	upstream	69	OTULIN
chr5	16617116	16617125	10	*	X03413	54463	16473147	16617167	144021	-	0	inside	41	RETREG1
chr5	17218910	17218918	9	*	X03414	285696	17130137	17217531	87395	-	1378	upstream	1378	BASP1-AS1
chr5	17219473	17219482	10	*	X03415	285696	17130137	17217531	87395	-	1941	upstream	1941	BASP1-AS1
chr5	31193404	31193412	9	*	X03420	1004	31193762	31329253	135492	+	349	upstream	349	CDH6
chr5	32313742	32313771	30	*	X03421	54545	32227111	32313114	86004	-	627	upstream	627	MTMR12
chr5	32710987	32710997	11	*	X03422	4883	32710743	32791830	81088	+	0	inside	243	NPR3
chr5	32711002	32711023	22	*	X03423	4883	32710743	32791830	81088	+	0	inside	258	NPR3
chr5	32711026	32711044	19	*	X03424	4883	32710743	32791830	81088	+	0	inside	282	NPR3
chr5	33440838	33440847	10	*	X03427	6897	33440802	33468196	27395	+	0	inside	35	TARS1
chr5	36151340	36151348	9	*	X03432	6502	36152145	36184142	31998	+	796	upstream	796	SKP2
chr5	36152205	36152213	9	*	X03433	6502	36152145	36184142	31998	+	0	inside	59	SKP2
chr5	36152205	36152213	9	*	X03433	92255	36103414	36152015	48602	-	189	upstream	189	LMBRD2
chr5	37371175	37371183	9	*	X03438	9631	37291941	37371197	79257	-	0	inside	13	NUP155
chr5	38257359	38257370	12	*	X03440	133584	38258511	38465582	207072	+	1140	upstream	1140	EGFLAM
chr5	39075388	39075454	67	*	X03442	253260	38938022	39074501	136480	-	886	upstream	886	RICTOR
chr5	40679537	40679545	9	*	X03444	5734	40680032	40693837	13806	+	486	upstream	486	PTGER4
chr5	40680234	40680242	9	*	X03445	5734	40680032	40693837	13806	+	0	inside	201	PTGER4
chr5	40834661	40834669	9	*	X03446	619564	40832758	40832837	80	-	1823	upstream	1823	SNORD72
chr5	41870910	41870919	10	*	X03447	5019	41730167	41870791	140625	-	118	upstream	118	OXCT1
chr5	43121047	43121057	11	*	X03452	7690	43120985	43192123	71139	+	0	inside	61	ZNF131
chr5	45696915	45696936	22	*	X03462	348980	45255052	45696220	441169	-	694	upstream	694	HCN1
chr5	52284545	52284565	21	*	X03470	3673	52285156	52390609	105454	+	590	upstream	590	ITGA2
chr5	52405519	52405528	10	*	X03474	257396	52405687	52410952	5266	+	158	upstream	158	LOC257396
chr5	52405519	52405528	10	*	X03474	4338	52393895	52405598	11704	-	0	inside	69	MOCS2
chr5	52776018	52776037	20	*	X03475	10468	52776264	52782304	6041	+	226	upstream	226	FST
chr5	52776040	52776049	10	*	X03476	10468	52776264	52782304	6041	+	214	upstream	214	FST
chr5	52776052	52776061	10	*	X03477	10468	52776264	52782304	6041	+	202	upstream	202	FST
chr5	54830296	54830305	10	*	X03480	379013	54824670	54830370	5701	-	0	inside	64	RNF138P1
chr5	55290364	55290376	13	*	X03481	441072	55290995	55299475	8481	+	618	upstream	618	FLJ31104
chr5	55291648	55291664	17	*	X03482	3572	55230925	55290821	59897	-	826	upstream	826	IL6ST
chr5	55291668	55291677	10	*	X03483	3572	55230925	55290821	59897	-	846	upstream	846	IL6ST
chr5	57877900	57877910	11	*	X03485	115827	57878939	58147406	268468	+	1028	upstream	1028	RAB3C
chr5	57878315	57878323	9	*	X03486	115827	57878939	58147406	268468	+	615	upstream	615	RAB3C
chr5	57878332	57878341	10	*	X03487	115827	57878939	58147406	268468	+	597	upstream	597	RAB3C
chr5	57878871	57878880	10	*	X03488	115827	57878939	58147406	268468	+	58	upstream	58	RAB3C
chr5	60626875	60626883	9	*	X03493	57688	60628100	60841999	213900	+	1216	upstream	1216	ZSWIM6
chr5	61602088	61602096	9	*	X03495	3796	61601989	61683011	81023	+	0	inside	98	KIF2A
chr5	61707911	61707940	30	*	X03497	51194	61708573	61924416	215844	+	632	upstream	632	IPO11
chr5	63258860	63258870	11	*	X03501	3350	63255875	63258119	2245	-	740	upstream	740	HTR1A
chr5	65891756	65891764	9	*	X03506	375449	65892176	66465423	573248	+	411	upstream	411	MAST4
chr5	65891772	65891782	11	*	X03507	375449	65892176	66465423	573248	+	393	upstream	393	MAST4
chr5	67511803	67511811	9	*	X03510	5295	67511584	67597649	86066	+	0	inside	218	PIK3R1
chr5	67511834	67511842	9	*	X03511	5295	67511584	67597649	86066	+	0	inside	249	PIK3R1
chr5	68389905	68389915	11	*	X03513	64924	68389776	68426899	37124	+	0	inside	128	SLC30A5
chr5	68628613	68628624	12	*	X03516	202243	68576519	68628620	52102	-	0	overlapStart	0	CCDC125
chr5	68710969	68710977	9	*	X03517	153562	68710939	68738984	28046	+	0	inside	29	MARVELD2
chr5	70883104	70883113	10	*	X03519	64087	70883115	70954530	71416	+	1	upstream	1	MCCC2
chr5	72416183	72416191	9	*	X03522	134285	72416388	72427644	11257	+	196	upstream	196	TMEM171
chr5	72794183	72794193	11	*	X03526	689	72794250	72801448	7199	+	56	upstream	56	BTF3
chr5	72794293	72794304	12	*	X03527	689	72794250	72801448	7199	+	0	inside	42	BTF3
chr5	73937468	73937480	13	*	X03529	8507	73923231	73937249	14019	-	218	upstream	218	ENC1
chr5	74532824	74532838	15	*	X03530	256006	74364122	74532703	168582	-	120	upstream	120	ANKRD31
chr5	75698589	75698599	11	*	X03532	10788	75699149	76003957	304809	+	549	upstream	549	IQGAP2
chr5	76326037	76326045	9	*	X03535	55109	76326210	76361058	34849	+	164	upstream	164	AGGF1
chr5	78531874	78531882	9	*	X03554	133746	78531925	78623038	91114	+	42	upstream	42	JMY
chr5	78810410	78810419	10	*	X03557	9456	78669647	78809659	140013	-	750	upstream	750	HOMER1
chr5	80255761	80255775	15	*	X03558	5924	80256508	80525981	269474	+	732	upstream	732	RASGRF2
chr5	80255788	80255796	9	*	X03559	5924	80256508	80525981	269474	+	711	upstream	711	RASGRF2
chr5	80255876	80255886	11	*	X03560	5924	80256508	80525981	269474	+	621	upstream	621	RASGRF2
chr5	80255889	80255911	23	*	X03561	5924	80256508	80525981	269474	+	596	upstream	596	RASGRF2
chr5	81048333	81048343	11	*	X03564	23635	80713179	81047072	333894	-	1260	upstream	1260	SSBP2
chr5	81267846	81267854	9	*	X03565	83734	81267844	81551216	283373	+	0	inside	1	ATG10
chr5	82374063	82374073	11	*	X03567	153339	82348665	82373272	24608	-	790	upstream	790	TMEM167A
chr5	83016729	83016750	22	*	X03572	1404	82934017	83016896	82880	-	0	inside	145	HAPLN1
chr5	83016753	83016762	10	*	X03573	1404	82934017	83016896	82880	-	0	inside	133	HAPLN1
chr5	83017549	83017596	48	*	X03574	1404	82934017	83016896	82880	-	652	upstream	652	HAPLN1
chr5	83017599	83017607	9	*	X03575	1404	82934017	83016896	82880	-	702	upstream	702	HAPLN1
chr5	83680690	83680699	10	*	X03577	10085	83238126	83680611	442486	-	78	upstream	78	EDIL3
chr5	85915385	85915394	10	*	X03578	100500805	85916314	85916392	79	+	919	upstream	919	NA
chr5	86563131	86563141	11	*	X03579	5921	86564070	86687743	123674	+	928	upstream	928	RASA1
chr5	86563990	86563998	9	*	X03580	5921	86564070	86687743	123674	+	71	upstream	71	RASA1
chr5	87564673	87564683	11	*	X03588	100505894	87564699	87732491	167793	+	15	upstream	15	TMEM161B-AS1
chr5	87564673	87564683	11	*	X03588	153396	87491023	87564665	73643	-	7	upstream	7	TMEM161B
chr5	87962892	87962904	13	*	X03593	407047	87962671	87962757	87	-	134	upstream	134	MIR9-2
chr5	87964113	87964121	9	*	X03594	407047	87962671	87962757	87	-	1355	upstream	1355	MIR9-2
chr5	94620680	94620688	9	*	X03614	79772	94042289	94620279	577991	-	400	upstream	400	MCTP1
chr5	94620767	94620776	10	*	X03615	79772	94042289	94620279	577991	-	487	upstream	487	MCTP1
chr5	94891648	94891657	10	*	X03616	9652	94799599	94890709	91111	-	938	upstream	938	TTC37
chr5	94955847	94955856	10	*	X03617	285601	94955980	94957284	1305	+	123	upstream	123	GPR150
chr5	95298060	95298071	12	*	X03620	22936	95220802	95297775	76974	-	284	upstream	284	ELL2
chr5	95997553	95997578	26	*	X03621	831	95997741	96115299	117559	+	162	upstream	162	CAST
chr5	96518998	96519007	10	*	X03623	55781	96496571	96519005	22435	-	0	overlapStart	0	RIOK2
chr5	98264533	98264542	10	*	X03624	100289230	98264838	98266713	1876	+	295	upstream	295	LOC100289230
chr5	98264719	98264729	11	*	X03625	100289230	98264838	98266713	1876	+	108	upstream	108	LOC100289230
chr5	98264833	98264848	16	*	X03626	100289230	98264838	98266713	1876	+	0	overlapStart	0	LOC100289230
chr5	99870953	99870965	13	*	X03627	345757	99871124	99922440	51317	+	158	upstream	158	FAM174A
chr5	100239178	100239189	12	*	X03628	7903	100142639	100238987	96349	-	190	upstream	190	ST8SIA4
chr5	107006596	107006609	14	*	X03636	1946	106712590	107006596	294007	-	0	overlapStart	0	EFNA5
chr5	107008028	107008036	9	*	X03637	1946	106712590	107006596	294007	-	1431	upstream	1431	EFNA5
chr5	107717509	107717529	21	*	X03638	64839	107194734	107717799	523066	-	0	inside	269	FBXL17
chr5	107717532	107717541	10	*	X03639	64839	107194734	107717799	523066	-	0	inside	257	FBXL17
chr5	107717781	107717789	9	*	X03640	64839	107194734	107717799	523066	-	0	inside	9	FBXL17
chr5	110560055	110560068	14	*	X03641	814	110559947	110820748	260802	+	0	inside	107	CAMK4
chr5	110848820	110848830	11	*	X03642	134429	110834022	110848233	14212	-	586	upstream	586	STARD4
chr5	110848849	110848861	13	*	X03643	134429	110834022	110848233	14212	-	615	upstream	615	STARD4
chr5	114516116	114516125	10	*	X03653	55521	114460459	114516243	55785	-	0	inside	117	TRIM36
chr5	115152112	115152121	10	*	X03654	1036	115140430	115152405	11976	-	0	inside	283	CDO1
chr5	115152209	115152220	12	*	X03655	1036	115140430	115152405	11976	-	0	inside	184	CDO1
chr5	115152329	115152338	10	*	X03656	1036	115140430	115152405	11976	-	0	inside	66	CDO1
chr5	115152491	115152499	9	*	X03657	1036	115140430	115152405	11976	-	85	upstream	85	CDO1
chr5	115420305	115420317	13	*	X03658	51397	115420727	115628978	208252	+	409	upstream	409	COMMD10
chr5	118324605	118324613	9	*	X03662	285605	118172569	118324240	151672	-	364	upstream	364	DTWD2
chr5	118788244	118788253	10	*	X03665	3295	118788138	118878030	89893	+	0	inside	105	HSD17B4
chr5	119799902	119799913	12	*	X03666	51334	119800019	120022964	222946	+	105	upstream	105	PRR16
chr5	121297395	121297442	48	*	X03669	153443	121297656	121364295	66640	+	213	upstream	213	SRFBP1
chr5	122181023	122181031	9	*	X03672	28966	122181160	122344902	163743	+	128	upstream	128	SNX24
chr5	122424841	122424886	46	*	X03673	93166	122424841	122523745	98905	+	0	inside	0	PRDM6
chr5	124084429	124084440	12	*	X03680	57507	123972610	124084500	111891	-	0	inside	59	ZNF608
chr5	124084482	124084491	10	*	X03681	57507	123972610	124084500	111891	-	0	inside	8	ZNF608
chr5	125930857	125930868	12	*	X03684	501	125877533	125931082	53550	-	0	inside	213	ALDH7A1
chr5	126408953	126408967	15	*	X03690	401207	126378250	126409184	30935	-	0	inside	216	C5orf63
chr5	127418960	127418968	9	*	X03691	6558	127419483	127525380	105898	+	514	upstream	514	SLC12A2
chr5	128430254	128430263	10	*	X03692	51015	128430442	128449719	19278	+	178	upstream	178	ISOC1
chr5	128795352	128795361	10	*	X03694	171019	128796103	129074376	278274	+	741	upstream	741	ADAMTS19
chr5	130501029	130501040	12	*	X03696	3094	130494976	130501041	6066	-	0	inside	0	HINT1
chr5	130506903	130506913	11	*	X03697	90624	130506641	130541119	34479	+	0	inside	261	LYRM7
chr5	131705597	131705609	13	*	X03699	553103	131646969	131705608	58640	-	0	overlapStart	0	MIR3936HG
chr5	131705597	131705609	13	*	X03699	6584	131705401	131731306	25906	+	0	inside	195	SLC22A5
chr5	131833036	131833045	10	*	X03701	3659	131776132	131831259	55128	-	1776	upstream	1776	IRF1
chr5	132073374	132073384	11	*	X03704	11127	132028323	132073265	44943	-	108	upstream	108	KIF3A
chr5	132113717	132113727	11	*	X03706	23176	132086509	132113561	27053	-	155	upstream	155	SEPTIN8
chr5	132948366	132948375	10	*	X03710	23105	132532152	132948223	416072	-	142	upstream	142	FSTL4
chr5	133512993	133513001	9	*	X03713	6500	133492082	133512724	20643	-	268	upstream	268	SKP1
chr5	133513036	133513050	15	*	X03714	6500	133492082	133512724	20643	-	311	upstream	311	SKP1
chr5	133513069	133513080	12	*	X03715	6500	133492082	133512724	20643	-	344	upstream	344	SKP1
chr5	133513082	133513092	11	*	X03716	6500	133492082	133512724	20643	-	357	upstream	357	SKP1
chr5	133513110	133513120	11	*	X03717	6500	133492082	133512724	20643	-	385	upstream	385	SKP1
chr5	133513123	133513131	9	*	X03718	6500	133492082	133512724	20643	-	398	upstream	398	SKP1
chr5	133513170	133513181	12	*	X03719	6500	133492082	133512724	20643	-	445	upstream	445	SKP1
chr5	134181615	134181628	14	*	X03722	134553	134181370	134195425	14056	+	0	inside	244	C5orf24
chr5	134366968	134366976	9	*	X03723	100996485	134368970	134680370	311401	+	1993	upstream	1993	C5orf66
chr5	134368797	134368805	9	*	X03724	100996485	134368970	134680370	311401	+	164	upstream	164	C5orf66
chr5	134369223	134369232	10	*	X03725	100996485	134368970	134680370	311401	+	0	inside	252	C5orf66
chr5	134914874	134914896	23	*	X03730	9547	134906371	134914969	8599	-	0	inside	72	CXCL14
chr5	134914958	134914967	10	*	X03731	9547	134906371	134914969	8599	-	0	inside	1	CXCL14
chr5	135468560	135468569	10	*	X03734	4090	135468536	135518422	49887	+	0	inside	23	SMAD5
chr5	135529169	135529177	9	*	X03735	389332	135527156	135528851	1696	-	317	upstream	317	SMIM32
chr5	137090062	137090072	11	*	X03740	10949	137087073	137090039	2967	-	22	upstream	22	HNRNPA0
chr5	137610226	137610234	9	*	X03741	2676	137588069	137610253	22185	-	0	inside	18	GFRA3
chr5	137911580	137911590	11	*	X03746	3313	137890571	137911318	20748	-	261	upstream	261	HSPA9
chr5	138677396	138677414	19	*	X03755	51247	138677519	138705409	27891	+	104	upstream	104	PAIP2
chr5	138940656	138940665	10	*	X03758	7322	138940751	139008018	67268	+	85	upstream	85	UBE2D2
chr5	139174925	139174933	9	*	X03765	84249	139175406	139224048	48643	+	472	upstream	472	PSD2
chr5	139487687	139487701	15	*	X03769	100505636	139482507	139487597	5091	-	89	upstream	89	MALINC1
chr5	139492879	139492887	9	*	X03770	5813	139493708	139499001	5294	+	820	upstream	820	PURA
chr5	139927469	139927479	11	*	X03776	8637	139927251	139929163	1913	+	0	inside	217	EIF4EBP3
chr5	140027594	140027630	37	*	X03777	3550	140027384	140042065	14682	+	0	inside	209	IK
chr5	140027594	140027630	37	*	X03777	4695	140024948	140027370	2423	-	223	upstream	223	NDUFA2
chr5	140430351	140430360	10	*	X03779	29930	140430979	140433512	2534	+	618	upstream	618	PCDHB1
chr5	141015634	141015642	9	*	X03785	285613	141016517	141020631	4115	+	874	upstream	874	RELL2
chr5	141016942	141016952	11	*	X03786	8841	141000443	141016423	15981	-	518	upstream	518	HDAC3
chr5	141062674	141062725	52	*	X03788	64411	141032968	141061800	28833	-	873	upstream	873	ARAP3
chr5	141392815	141392831	17	*	X03797	10007	141380234	141392620	12387	-	194	upstream	194	GNPDA1
chr5	141704641	141704653	13	*	X03799	81848	141689992	141704620	14629	-	20	upstream	20	SPRY4
chr5	145717242	145717250	9	*	X03806	5459	145718587	145720083	1497	+	1336	upstream	1336	POU4F3
chr5	145718111	145718152	42	*	X03807	5459	145718587	145720083	1497	+	434	upstream	434	POU4F3
chr5	146613835	146613843	9	*	X03810	202374	146614579	146764241	149663	+	735	upstream	735	STK32A
chr5	146889759	146889780	22	*	X03814	1809	146770371	146889619	119249	-	139	upstream	139	DPYSL3
chr5	147763438	147763446	9	*	X03818	81545	147763498	147822399	58902	+	51	upstream	51	FBXO38
chr5	148725068	148725078	11	*	X03820	134266	148724977	148734146	9170	+	0	inside	90	GRPEL2
chr5	148961007	148961018	12	*	X03822	389337	148961135	149014527	53393	+	116	upstream	116	ARHGEF37
chr5	148961178	148961186	9	*	X03823	389337	148961135	149014527	53393	+	0	inside	42	ARHGEF37
chr5	149380580	149380588	9	*	X03827	81789	149372686	149380730	8045	-	0	inside	141	TIGD6
chr5	149737379	149737387	9	*	X03828	6949	149737202	149779871	42670	+	0	inside	176	TCOF1
chr5	150081044	150081054	11	*	X03831	55696	150070352	150080669	10318	-	374	upstream	374	RBM22
chr5	150081056	150081074	19	*	X03832	55696	150070352	150080669	10318	-	386	upstream	386	RBM22
chr5	150138705	150138716	12	*	X03833	51164	150088309	150138657	50349	-	47	upstream	47	DCTN4
chr5	151151506	151151519	14	*	X03837	100652758	151149354	151151069	1716	-	436	upstream	436	LOC100652758
chr5	151151506	151151519	14	*	X03837	10146	151151476	151184915	33440	+	0	inside	29	G3BP1
chr5	151151821	151151832	12	*	X03838	100652758	151149354	151151069	1716	-	751	upstream	751	LOC100652758
chr5	153417803	153417812	10	*	X03842	4238	153418519	153437014	18496	+	706	upstream	706	MFAP3
chr5	154238051	154238063	13	*	X03850	9337	154237809	154256352	18544	+	0	inside	241	CNOT8
chr5	158636802	158636810	9	*	X03857	153830	158584417	158637061	52645	-	0	inside	250	RNF145
chr5	158690072	158690081	10	*	X03858	134510	158690089	158713048	22960	+	7	upstream	7	UBLCP1
chr5	158759081	158759091	11	*	X03860	3593	158741791	158757481	15691	-	1599	upstream	1599	IL12B
chr5	159797905	159797916	12	*	X03864	114898	159774775	159797648	22874	-	256	upstream	256	C1QTNF2
chr5	160974844	160974860	17	*	X03866	2561	160715436	160975130	259695	-	0	inside	269	GABRB2
chr5	160976337	160976355	19	*	X03867	2561	160715436	160975130	259695	-	1206	upstream	1206	GABRB2
chr5	161494678	161494686	9	*	X03869	2566	161494648	161582545	87898	+	0	inside	29	GABRG2
chr5	162886939	162886947	9	*	X03870	134492	162880586	162887143	6558	-	0	inside	195	NUDCD2
chr5	162886939	162886947	9	*	X03870	3161	162887517	162918953	31437	+	569	upstream	569	HMMR
chr5	162887100	162887109	10	*	X03871	134492	162880586	162887143	6558	-	0	inside	33	NUDCD2
chr5	162887100	162887109	10	*	X03871	3161	162887517	162918953	31437	+	407	upstream	407	HMMR
chr5	162887189	162887197	9	*	X03872	134492	162880586	162887143	6558	-	45	upstream	45	NUDCD2
chr5	162887189	162887197	9	*	X03872	3161	162887517	162918953	31437	+	319	upstream	319	HMMR
chr5	168728673	168728687	15	*	X03883	6586	168088738	168728133	639396	-	539	upstream	539	SLIT3
chr5	168729086	168729094	9	*	X03884	6586	168088738	168728133	639396	-	952	upstream	952	SLIT3
chr5	169407584	169407599	16	*	X03886	100131897	169290719	169407744	117026	-	0	inside	144	INSYN2B
chr5	169407608	169407617	10	*	X03887	100131897	169290719	169407744	117026	-	0	inside	126	INSYN2B
chr5	170814604	170814617	14	*	X03892	100500831	170813660	170813764	105	-	839	upstream	839	MIR3912
chr5	170814604	170814617	14	*	X03892	4869	170814708	170837888	23181	+	90	upstream	90	NPM1
chr5	170814654	170814662	9	*	X03893	100500831	170813660	170813764	105	-	889	upstream	889	MIR3912
chr5	170814654	170814662	9	*	X03893	4869	170814708	170837888	23181	+	45	upstream	45	NPM1
chr5	170814776	170814785	10	*	X03894	100500831	170813660	170813764	105	-	1011	upstream	1011	MIR3912
chr5	170814776	170814785	10	*	X03894	4869	170814708	170837888	23181	+	0	inside	67	NPM1
chr5	171615794	171615802	9	*	X03898	6793	171469074	171615346	146273	-	447	upstream	447	STK10
chr5	172198173	172198181	9	*	X03902	1843	172195093	172198203	3111	-	0	inside	21	DUSP1
chr5	172386945	172386955	11	*	X03903	100268168	172381786	172386371	4586	-	573	upstream	573	LOC100268168
chr5	172756550	172756560	11	*	X03909	8614	172741726	172756506	14781	-	43	upstream	43	STC2
chr5	174178709	174178717	9	*	X03912	100616202	174178737	174178790	54	+	19	upstream	19	MIR4634
chr5	175084924	175084934	11	*	X03913	3274	175085040	175113245	28206	+	105	upstream	105	HRH2
chr5	175085056	175085065	10	*	X03914	3274	175085040	175113245	28206	+	0	inside	15	HRH2
chr5	175223654	175223667	14	*	X03915	10814	175223610	175311023	87414	+	0	inside	43	CPLX2
chr5	175626563	175626571	9	*	X03917	643201	175570088	175626298	56211	-	264	upstream	264	LOC643201
chr5	175788995	175789003	9	*	X03918	57179	175773066	175788809	15744	-	185	upstream	185	KIAA1191
chr5	175969371	175969382	12	*	X03920	54825	175969512	176022769	53258	+	129	upstream	129	CDHR2
chr5	176057027	176057039	13	*	X03926	100422962	176056440	176056501	62	-	525	upstream	525	MIR4281
chr5	176057027	176057039	13	*	X03926	253314	176057683	176073642	15960	+	643	upstream	643	EIF4E1B
chr5	176057980	176057990	11	*	X03927	100422962	176056440	176056501	62	-	1478	upstream	1478	MIR4281
chr5	176057980	176057990	11	*	X03927	253314	176057683	176073642	15960	+	0	inside	296	EIF4E1B
chr5	176057980	176057990	11	*	X03927	6620	176047210	176057557	10348	-	422	upstream	422	SNCB
chr5	176433741	176433749	9	*	X03930	51720	176332006	176433795	101790	-	0	inside	45	UIMC1
chr5	176434209	176434217	9	*	X03931	51720	176332006	176433795	101790	-	413	upstream	413	UIMC1
chr5	176559382	176559393	12	*	X03932	64324	176560080	176727214	167135	+	686	upstream	686	NSD1
chr5	176873418	176873428	11	*	X03935	80758	176873796	176883287	9492	+	367	upstream	367	PRR7
chr5	176873485	176873494	10	*	X03936	80758	176873796	176883287	9492	+	301	upstream	301	PRR7
chr5	176873751	176873764	14	*	X03937	80758	176873796	176883287	9492	+	31	upstream	31	PRR7
chr5	176873794	176873803	10	*	X03938	80758	176873796	176883287	9492	+	0	overlapStart	0	PRR7
chr5	176943891	176943899	9	*	X03942	51428	176938578	176943967	5390	-	0	inside	67	DDX41
chr5	177631399	177631407	9	*	X03945	3182	177631508	177638184	6677	+	100	upstream	100	HNRNPAB
chr5	178367644	178367653	10	*	X03950	285676	178368194	178393218	25025	+	540	upstream	540	ZNF454
chr5	179051623	179051631	9	*	X03958	3187	179041179	179051670	10492	-	0	inside	38	HNRNPH1
chr5	179125695	179125703	9	*	X03960	821	179125428	179158639	33212	+	0	inside	266	CANX
chr5	179285827	179285835	9	*	X03964	51149	179263634	179285840	22207	-	0	inside	4	MRNIP
chr5	179285866	179285875	10	*	X03965	51149	179263634	179285840	22207	-	25	upstream	25	MRNIP
chr5	179335206	179335214	9	*	X03966	23061	179289071	179334856	45786	-	349	upstream	349	TBC1D9B
chr5	180258782	180258790	9	*	X03977	100859930	180256954	180258618	1665	-	163	upstream	163	HEIH
chr5	180632756	180632788	33	*	X03987	81786	180620924	180632177	11254	-	578	upstream	578	TRIM7
chr5	180633209	180633217	9	*	X03988	81786	180620924	180632177	11254	-	1031	upstream	1031	TRIM7
chr6	292061	292070	10	*	X03989	56940	292101	351355	59255	+	30	upstream	30	DUSP22
chr6	1312035	1312054	20	*	X03995	94234	1312675	1314993	2319	+	620	upstream	620	FOXQ1
chr6	1312082	1312090	9	*	X03996	94234	1312675	1314993	2319	+	584	upstream	584	FOXQ1
chr6	2245321	2245329	9	*	X03999	100508120	2245987	2481403	235417	+	657	upstream	657	GMDS-DT
chr6	2245505	2245513	9	*	X04000	100508120	2245987	2481403	235417	+	473	upstream	473	GMDS-DT
chr6	2245645	2245653	9	*	X04001	100508120	2245987	2481403	235417	+	333	upstream	333	GMDS-DT
chr6	2245645	2245653	9	*	X04001	2762	1624035	2245868	621834	-	0	inside	214	GMDS
chr6	2246646	2246654	9	*	X04002	2762	1624035	2245868	621834	-	777	upstream	777	GMDS
chr6	2765802	2765812	11	*	X04003	56897	2765666	2785979	20314	+	0	inside	135	WRNIP1
chr6	3064078	3064086	9	*	X04006	8737	3064122	3115421	51300	+	35	upstream	35	RIPK1
chr6	3158553	3158589	37	*	X04009	7280	3153902	3157783	3882	-	769	upstream	769	TUBB2A
chr6	3229142	3229151	10	*	X04011	347733	3224495	3227968	3474	-	1173	upstream	1173	TUBB2B
chr6	3229230	3229256	27	*	X04012	347733	3224495	3227968	3474	-	1261	upstream	1261	TUBB2B
chr6	3458108	3458116	9	*	X04015	63027	3269207	3456793	187587	-	1314	upstream	1314	SLC22A23
chr6	3458262	3458270	9	*	X04016	63027	3269207	3456793	187587	-	1468	upstream	1468	SLC22A23
chr6	3849325	3849336	12	*	X04017	26240	3849632	3851551	1920	+	295	upstream	295	FAM50B
chr6	5085236	5085244	9	*	X04019	648791	5085720	5087455	1736	+	475	upstream	475	PPP1R3G
chr6	5259845	5259854	10	*	X04021	10667	5261277	5771816	510540	+	1422	upstream	1422	FARS2
chr6	6007800	6007831	32	*	X04026	51299	5998233	6007633	9401	-	166	upstream	166	NRN1
chr6	6007834	6007848	15	*	X04027	51299	5998233	6007633	9401	-	200	upstream	200	NRN1
chr6	6007901	6007913	13	*	X04028	51299	5998233	6007633	9401	-	267	upstream	267	NRN1
